2.055,0,0,0,-9.73E-05,7.79E-05,0.003623962,0.00038146,-0.000536384,9.81,-4.10E-05,-6.78E-05,1.07E-06,0.000213054,0.000309944,1.27E-08,-1.63E-07,-0.004768463,-2.57E-07
2.06,-4.86E-07,3.90E-07,1.81E-05,-9.54E-05,7.52E-05,0.003623962,0.00038146,-0.00036991,9.771853027,-3.99E-05,-6.63E-05,1.07E-06,0.000213053,0.000286102,1.14E-08,-1.63E-07,2.40E-12,-6.10E-08
2.065,-9.63E-07,7.66E-07,3.62E-05,-9.35E-05,7.34E-05,0.003433228,0.000762939,-0.000595755,9.790926514,-3.89E-05,-6.48E-05,1.07E-06,0.000213052,0.000286102,1.11E-08,3.25E-07,2.33E-12,-6.10E-08
2.07,-1.43E-06,1.13E-06,5.34E-05,-8.96E-05,7.04E-05,0.00333786,1.82E-08,-0.000500586,9.81,-3.78E-05,-6.34E-05,1.07E-06,0.000213054,0.000286102,1.08E-08,-1.63E-07,-0.0047683,-2.36E-07
2.075,-1.88E-06,1.48E-06,7.01E-05,-8.96E-05,6.79E-05,0.00333786,0.00038146,-0.000667933,9.771853027,-3.68E-05,-6.20E-05,1.07E-06,0.000213053,0.000262261,9.64E-09,-0.021305451,2.02E-12,-5.59E-08
2.08,-2.33E-06,1.82E-06,8.68E-05,-8.77E-05,6.46E-05,0.003147125,0.000381478,-0.000297732,9.81,-3.57E-05,-6.07E-05,1.07E-06,0.000106526,0.000262261,9.36E-09,0.021305533,0.0047683,1.40E-07
2.085,-2.77E-06,2.15E-06,0.00010252,-8.58E-05,6.31E-05,0.003147125,0.000762921,-0.000417349,9.771853027,-3.52E-05,-5.94E-05,1.07E-06,0.000213053,0.000286102,1.01E-08,-3.79E-15,-0.0095366,-3.86E-07
2.09,-3.19E-06,2.46E-06,0.000118256,-8.20E-05,6.10E-05,0.00295639,1.82E-08,-0.000345754,9.790926514,-3.41E-05,-5.79E-05,1.07E-06,0.000213053,0.000238419,8.13E-09,-0.021305533,-1.63E-07,-5.08E-08
2.095,-3.60E-06,2.77E-06,0.000133038,-8.20E-05,5.92E-05,0.002861023,0.000762921,-0.000476721,9.81,-3.30E-05,-5.67E-05,1.07E-06,0.000106526,0.000238418,7.87E-09,0.021305533,8.32E-13,-2.54E-08
2.1,-4.01E-06,3.06E-06,0.000147343,-7.82E-05,5.69E-05,0.002861023,9.09E-09,-0.000131258,9.771853027,-3.25E-05,-5.56E-05,1.07E-06,0.000213053,0.000238418,7.75E-09,-0.02130537,1.63E-07,-5.08E-08
2.105,-4.41E-06,3.35E-06,0.000161648,-7.82E-05,5.62E-05,0.002670288,0.000381478,-0.000464788,9.81,-3.14E-05,-5.44E-05,1.07E-06,0.000106526,0.000238419,7.49E-09,-2.03E-15,-1.63E-07,-2.54E-08
2.11,-4.80E-06,3.63E-06,0.000174999,-7.63E-05,5.39E-05,0.002670288,0.00038146,-0.000298023,9.790926514,-3.09E-05,-5.32E-05,1.07E-06,0.000106526,0.000238418,7.37E-09,0.021305289,1.63E-07,-2.54E-08
2.115,-5.18E-06,3.90E-06,0.000188351,-7.44E-05,5.24E-05,0.002574921,0.00038146,-0.000274158,9.790926514,-3.04E-05,-5.20E-05,1.07E-06,0.000213053,0.000238419,7.24E-09,-0.021305289,-0.004768463,-1.90E-07
2.12,-5.55E-06,4.16E-06,0.000201225,-7.25E-05,5.10E-05,0.002479553,0.000381478,-0.000417349,9.790926514,-2.93E-05,-5.08E-05,1.07E-06,0.000106526,0.000214577,6.29E-09,1.36E-16,0.0047683,1.14E-07
2.125,-5.91E-06,4.41E-06,0.000213623,-7.06E-05,4.89E-05,0.002384186,0.000381469,-0.000178698,9.790926514,-2.88E-05,-4.97E-05,1.07E-06,0.000106526,0.000238418,6.86E-09,0.021305289,-0.009536763,-2.95E-07
2.13,-6.27E-06,4.66E-06,0.000225544,-6.87E-05,4.80E-05,0.002288818,1.22E-15,-0.000357686,9.829073486,-2.82E-05,-4.85E-05,1.07E-06,0.000213053,0.000190734,5.38E-09,-0.021305289,0.004768463,8.89E-08
2.135,-6.61E-06,4.90E-06,0.000236988,-6.87E-05,4.63E-05,0.002384186,0.000381469,-0.000465079,9.771853027,-2.72E-05,-4.76E-05,1.07E-06,0.000106526,0.000214577,5.83E-09,1.76E-15,-0.0047683,-1.50E-07
2.14,-6.95E-06,5.13E-06,0.000248909,-6.68E-05,4.39E-05,0.002193451,0.000381472,-7.13E-05,9.790926514,-2.66E-05,-4.65E-05,1.07E-06,0.000106526,0.000190735,5.08E-09,-8.13E-08,0.0047683,1.04E-07
2.145,-7.29E-06,5.35E-06,0.000259876,-6.48E-05,4.36E-05,0.002098083,0.000381468,-0.00023836,9.81,-2.61E-05,-4.55E-05,1.07E-06,0.000106526,0.000214577,5.60E-09,1.63E-07,-0.004768463,-1.45E-07
2.15,-7.61E-06,5.57E-06,0.000270367,-6.29E-05,4.24E-05,0.002098083,-1.71E-09,-0.000393775,9.771853027,-2.56E-05,-4.45E-05,1.07E-06,0.000106527,0.000190734,4.88E-09,-8.13E-08,1.63E-07,-2.03E-08
2.155,-7.93E-06,5.78E-06,0.000280857,-6.29E-05,4.04E-05,0.001907349,0.00038147,-0.000166474,9.829073486,-2.50E-05,-4.35E-05,1.07E-06,0.000106526,0.000190735,4.77E-09,-8.13E-08,-1.63E-07,-2.03E-08
